Country_Region,Comfirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Mortality Rate (per 100),lat,long
US,44317553,712972,0,0,44764257.7,7182.035601,1.61,36.74817,-102.5174
India,33953475,450589,0,0,146945.6178,45.692475,1.33,20.5937,78.9629
Brazil,21567181,600829,0,0,315839.3304,67.109858,2.79,-10.1753,-48.2982
United Kingdom,8158935,138101,0,0,114654.8294,15.702663,1.69,54.2361,-4.5481
Russia,7631034,211627,0,0,433192.3537,232.483686,2.77,61.524,105.3188
Turkey,7416152,65984,0,0,8793.258289,0.889734,0.89,38.9637,35.2433
France,7152009,117915,0,0,112103.5944,13.7888,1.65,46.2276,2.2137
Iran,5691634,122370,0,0,6776.323247,2.149998,2.15,32.4279,53.688
Argentina,5265528,115458,0,0,11650.48673,2.192715,2.19,-38.4161,-63.6167
Spain,4973619,86778,0,0,194774.1219,32.954595,1.74,39.2796,-3.0977
Colombia,4970718,126585,0,0,255510.9431,92.49146,2.55,3.272,-73.0877
Italy,4698038,131274,0,0,161636.6932,56.827049,2.79,41.8719,12.5674
Germany,4312528,94206,0,0,79918.40486,37.410579,2.18,51.1657,10.4515
Indonesia,4227038,142612,0,0,1545.401448,3.373805,3.37,-0.7893,113.9213
Mexico,3714392,281610,0,0,94217.96013,271.401579,7.58,22.7709,-102.5832
Poland,2920874,75864,0,0,7717.664504,2.597305,2.6,51.9194,19.1451
South Africa,2911497,88292,0,0,4909.056329,3.032529,3.03,-30.5595,22.9375
Philippines,2654450,39505,0,0,2422.361487,1.488256,1.49,12.8797,121.774
Ukraine,2645597,62157,0,0,166395.6279,65.86273,2.35,48.3794,31.1656
Malaysia,2332221,27265,0,0,106976.5304,17.886869,1.17,4.2105,101.9758
Peru,2183589,199641,0,0,158445.3114,213.121799,9.14,-10.39655,-75.30764
Netherlands,2060448,18629,0,0,171389.7507,15.021837,0.9,52.1326,5.2913
Iraq,2022109,22537,0,0,5027.307724,1.114529,1.11,33.2232,43.6793
Japan,1711207,17945,0,0,41642.78107,49.516253,1.05,15.87,100.9925
Thailand,1700067,17607,0,0,2435.626842,1.035665,1.04,36.2048,138.2529
Czechia,1699074,30499,0,0,15865.87782,1.795037,1.8,49.8175,15.473
Canada,1665312,28246,0,0,39000.67069,15.069401,1.7,53.9333,-116.5765
Chile,1661370,37554,0,0,161721.8265,29.584678,2.26,-33.0472,-71.6127
Bangladesh,1561878,27674,0,0,948.378075,1.771841,1.77,23.685,90.3563
Romania,1346240,39209,0,0,6997.932495,2.912482,2.91,45.9432,24.9668
